date,Belgium,China,France,Germany,Iran,Italy,Netherlands,Spain
2020-04-03,1143,3326,6520,1275,3294,14681,1490,11198
2020-04-04,1283,3330,7574,1444,3452,15362,1656,11947
2020-04-05,1447,3333,8093,1584,3603,15887,1771,12641
2020-04-06,1632,3335,8926,1810,3739,16523,1874,13341
2020-04-07,2035,3335,10343,2016,3872,17127,2108,14045
2020-04-08,2240,3337,10887,2349,3993,17669,2255,14792
2020-04-09,2523,3339,12228,2607,4110,18279,2403,15447
2020-04-10,3019,3340,13215,2767,4232,18849,2520,16081
2020-04-11,3346,3343,13851,2894,4357,19468,2653,16606
2020-04-12,3600,3343,14412,3022,4474,19899,2747,17209
